Type,Typical.Action.Chain.Pos,Noun,Tense,Polarity,Co.2.Pr,Pr.2.Pr,Style,Gender,Age,Education,Speaker
Singular,Tails-Settings,cosa,Present-Preterit,Positive,Singular,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,restaurante,Present-Preterit,Positive,Singular,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,cambio,All.Others,Positive,Pluralized,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,condominio,All.Others,Negative,Pluralized,Pluralized,Interview,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,habitante,All.Others,Positive,Pluralized,Pluralized,Interview,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,habitante,All.Others,Positive,Pluralized,Pluralized,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,carro,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,lo,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,persona,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,carro,Present-Preterit,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,gallina,All.Others,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,huevo,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,tipo,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,talento,Present-Preterit,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,talento,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,pelotero,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,pez,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,pez,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,pez,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,animal,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,cosa,All.Others,Negative,Pluralized,Pluralized,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,pez,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,libro,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,lo,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,indicio,Present-Preterit,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,lo,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,victima,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,victima,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,paloma,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,paloma,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,No.Priming,Pluralized,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,terremoto,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,Maria,Present-Preterit,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,persona,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,vegetariano,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,traductor,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,traductor,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,butaca,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,conocimiento,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,sapo,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,sapo,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,carro,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,carro,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,grupo de,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,sentimiento,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,sentimiento,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,sentimiento,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,sentimiento,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,alumno,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,invitado,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,leon,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,ardilla,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,carro,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,carro,All.Others,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,lo,All.Others,Positive,Singular,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,persona,All.Others,Positive,Singular,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,habitante,Present-Preterit,Positive,Singular,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,escuela,All.Others,Positive,Pluralized,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,monja,All.Others,Positive,Pluralized,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Plural,Tails-Settings,juego,All.Others,Positive,No.Priming,Pluralized,Interview,Female,Oldest.Speakers,University,SJ01M22
Plural,Heads,companero de trabajo,All.Others,Positive,Singular,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,plato,All.Others,Positive,Pluralized,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,problema,Present-Preterit,Positive,Singular,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,tradicion,Present-Preterit,Positive,Pluralized,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,plato,Present-Preterit,Positive,Singular,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,carnaval,All.Others,Positive,Singular,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,Pluralized,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,Pluralized,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,Pluralized,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,Pluralized,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,Singular,No.Priming,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,Singular,Singular,Interview,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,padre,All.Others,Positive,No.Priming,No.Priming,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,padre,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,cosa,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,cosa,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,situacion,All.Others,Positive,Singular,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,peligro,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,persona,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,situacion,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,animal,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,lobo,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Heads,ladron,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,vez,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,peligro,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,peligro,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,bandera,All.Others,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,semana de,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,cuarto,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,truco de magia,Present-Preterit,Negative,No.Priming,No.Priming,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,semana de,Present-Preterit,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,peligro,All.Others,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,critica,All.Others,Negative,No.Priming,No.Priming,Reading.Task-Questionnaire.Task,Female,Oldest.Speakers,University,SJ01M22
Singular,Tails-Settings,condominio,Present-Preterit,Positive,Pluralized,Singular,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,nino,Present-Preterit,Positive,No.Priming,No.Priming,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,amistad,Present-Preterit,Positive,Singular,No.Priming,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,indicio,Present-Preterit,Positive,Pluralized,No.Priming,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,actividad,All.Others,Positive,No.Priming,No.Priming,Interview,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,padre,All.Others,Positive,No.Priming,Singular,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,cosa,Present-Preterit,Positive,No.Priming,No.Priming,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,diferencia,Present-Preterit,Positive,Singular,No.Priming,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,lo,Present-Preterit,Positive,Singular,Singular,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,entidad,Present-Preterit,Positive,Singular,Singular,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,persona,Present-Preterit,Positive,Singular,Singular,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,padre,Present-Preterit,Positive,No.Priming,No.Priming,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,cosa,All.Others,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,cosa,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,situacion,All.Others,Positive,Singular,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,peligro,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,persona,All.Others,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,persona,Present-Preterit,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,situacion,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,persona,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,situacion,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,animal,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,ladron,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,ladron,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,vez,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,peligro,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,bandera,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,semana de,All.Others,Positive,No.Priming,No.Priming,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,cuarto,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,cuarto,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,semana de,All.Others,Negative,No.Priming,No.Priming,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,peligro,Present-Preterit,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,critica,All.Others,Negative,No.Priming,No.Priming,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,critica,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,carro,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,lo,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,persona,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,persona,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,persona,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,persona,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,palabra,Present-Preterit,Positive,No.Priming,Singular,Interview,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,carro,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,vez,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,vez,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,vez,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,gallina,All.Others,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,huevo,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,tipo,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,talento,All.Others,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,talento,Present-Preterit,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,pelotero,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,pez,Present-Preterit,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,animal,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,lo,Present-Preterit,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,lo,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,libro,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,lo,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,indicio,Present-Preterit,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,lo,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,victima,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,paloma,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,vez,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,terremoto,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,Maria,Present-Preterit,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,Maria,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,Maria,Present-Preterit,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,persona,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,persona,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,traductor,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,butaca,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,butaca,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Tails-Settings,conocimiento,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,sapo,Present-Preterit,Negative,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,carro,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,carro,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,grupo de ,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,sentimiento,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,alumno,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Tails-Settings,invitado,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,leon,All.Others,Positive,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,lo,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,lo,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Plural,Heads,ardilla,All.Others,Positive,No.Priming,Singular,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,carro,All.Others,Negative,No.Priming,Pluralized,Reading.Task-Questionnaire.Task,Female,Youngest.Speakers,University,SJ02M12
Singular,Heads,persona,Present-Preterit,Positive,Pluralized,Singular,Interview,Male,Oldest.Speakers,University,SJ03H22
Singular,Heads,persona,Present-Preterit,Positive,Pluralized,Singular,Interview,Male,Oldest.Speakers,University,SJ03H22
Singular,Heads,persona,All.Others,Negative,Pluralized,No.Priming,Interview,Male,Oldest.Speakers,University,SJ03H22
Singular,Heads,persona,Present-Preterit,Positive,Pluralized,Singular,Interview,Male,Oldest.Speakers,University,SJ03H22
Plural,Heads,casa,All.Others,Positive,Pluralized,Singular,Interview,Male,Oldest.Speakers,University,SJ03H22
Plural,Heads,alumno,All.Others,Positive,Pluralized,No.Priming,Interview,Male,Oldest.Speakers,University,SJ03H22
Plural,Tails-Settings,piso,All.Others,Positive,Pluralized,Pluralized,Interview,Male,Oldest.Speakers,University,SJ03H22
Plural,Tails-Settings,salon,All.Others,Positive,Pluralized,Pluralized,Interview,Male,Oldest.Speakers,University,SJ03H22
Singular,Heads,maestro,Present-Preterit,Positive,Pluralized,Pluralized,Interview,Male,Oldest.Speakers,University,SJ03H22
Singular,Heads,corporacion,Present-Preterit,Positive,No.Priming,No.Priming,Interview,Male,Oldest.Speakers,University,SJ03H22
Singular,Tails-Settings,fiesta,All.Others,Positive,No.Priming,No.Priming,Interview,Male,Oldest.Speakers,University,SJ03H22
Plural,Tails-Settings,pelea,All.Others,Positive,Pluralized,Singular,Interview,Male,Oldest.Speakers,University,SJ03H22
Plural,Tails-Settings,pelea,All.Others,Positive,Pluralized,Pluralized,Interview,Male,Oldest.Speakers,University,SJ03H22
Plural,Tails-Settings,pelea,All.Others,Positive,Pluralized,Pluralized,Interview,Male,Oldest.Speakers,University,SJ03H22
Singular,Tails-Settings,pelea,Present-Preterit,Positive,Pluralized,Pluralized,Interview,Male,Oldest.Speakers,University,SJ03H22
Plural,Tails-Settings,situacion,All.Others,Positive,No.Priming,No.Priming,Interview,Male,Oldest.Speakers,University,SJ03H22
